product_id,angle,language,hook,scene_plan,proof,cta
P014,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show 3-in-1 Phone Lens Clip Macro Wide Angle Fisheye in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P014,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P014,review_pain_reply,en-ms,Someone said: 'phone camera cannot capture close details'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate 3-in-1 Phone Lens Clip Macro Wide Angle Fisheye in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P015,problem_solution,en-ms,Still dealing with voice sounds noisy?,"Show the problem in a Malaysia-relevant scene: TikTok recording, live selling, cafe, street, or home office scene. Then introduce Wired USB-C Lavalier Microphone for Phone.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P015,malay_local,ms-en,Suara clear lagi senang orang percaya bila buat video jualan.,"Open with a local Malaysia scene: TikTok recording, live selling, cafe, street, or home office scene. Show Wired USB-C Lavalier Microphone for Phone in use within 3 seconds.",Show voice clarity before/after and noise reduction. Keep every shot clear enough to understand without sound.,Tekan cart kuning kalau nak tengok harga promo hari ini.
P015,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same TikTok recording, live selling, cafe, street, or home office scene setup.",Compare voice clarity before/after and noise reduction in 10 seconds.,I would test this first because the result is easy to see.
P015,review_pain_reply,en-ms,Someone said: 'voice sounds noisy'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Wired USB-C Lavalier Microphone for Phone in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P016,problem_solution,en-ms,Still dealing with creator cannot move camera files?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Mini USB-C Card Reader for SD and MicroSD.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM42, this is worth testing."
P016,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Mini USB-C Card Reader for SD and MicroSD in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P016,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P016,review_pain_reply,en-ms,Someone said: 'creator cannot move camera files'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Mini USB-C Card Reader for SD and MicroSD in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P017,problem_solution,en-ms,Still dealing with charging cable bends?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Magnetic Wireless Charger Pad with USB-C Cable.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM49, this is worth testing."
P017,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Magnetic Wireless Charger Pad with USB-C Cable in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P017,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P017,review_pain_reply,en-ms,Someone said: 'charging cable bends'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Magnetic Wireless Charger Pad with USB-C Cable in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P018,problem_solution,en-ms,Still dealing with want better livestream image?,"Show the problem in a Malaysia-relevant scene: student desk, work-from-home desk, office, or cyber cafe setup. Then introduce Mini HDMI to USB-C Capture Card for Live Streaming.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P018,malay_local,ms-en,"Meja kerja nampak simple, tapi masalah cable dan port selalu kacau.","Open with a local Malaysia scene: student desk, work-from-home desk, office, or cyber cafe setup. Show Mini HDMI to USB-C Capture Card for Live Streaming in use within 3 seconds.","Show cleaner desk, easier connection, and faster workflow. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P018,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same student desk, work-from-home desk, office, or cyber cafe setup setup.","Compare cleaner desk, easier connection, and faster workflow in 10 seconds.",I would test this first because the result is easy to see.
P018,review_pain_reply,en-ms,Someone said: 'want better livestream image'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Mini HDMI to USB-C Capture Card for Live Streaming in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P019,problem_solution,en-ms,Still dealing with dust in charging port?,"Show the problem in a Malaysia-relevant scene: commute, cafe table, bedroom, office desk, or content creator setup. Then introduce Anti-Dust Charging Port Plug Set for USB-C Phone.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM23, this is worth testing."
P019,malay_local,ms-en,"Phone hari-hari pakai, benda kecil macam ni memang terasa beza.","Open with a local Malaysia scene: commute, cafe table, bedroom, office desk, or content creator setup. Show Anti-Dust Charging Port Plug Set for USB-C Phone in use within 3 seconds.","Show grip, charging speed, protection, or hands-free convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P019,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same commute, cafe table, bedroom, office desk, or content creator setup setup.","Compare grip, charging speed, protection, or hands-free convenience in 10 seconds.",I would test this first because the result is easy to see.
P019,review_pain_reply,en-ms,Someone said: 'dust in charging port'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Anti-Dust Charging Port Plug Set for USB-C Phone in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
P020,problem_solution,en-ms,Still dealing with forgot to turn off lamp or fan?,"Show the problem in a Malaysia-relevant scene: bedroom fan, desk lamp, rental room, or home appliance timer scene. Then introduce Mini Smart Plug WiFi Outlet 1-Pack.",Use before/after shots and one close-up of the product solving the problem.,"Check the yellow cart. If it is around RM47, this is worth testing."
P020,malay_local,ms-en,Lampu atau kipas boleh jadi smart tanpa tukar barang besar.,"Open with a local Malaysia scene: bedroom fan, desk lamp, rental room, or home appliance timer scene. Show Mini Smart Plug WiFi Outlet 1-Pack in use within 3 seconds.","Show timer control, app control, and convenience. Keep every shot clear enough to understand without sound.",Tekan cart kuning kalau nak tengok harga promo hari ini.
P020,comparison_test,en,Cheap solution vs this one. Which works better?,"Split the screen into old method and product method using the same bedroom fan, desk lamp, rental room, or home appliance timer scene setup.","Compare timer control, app control, and convenience in 10 seconds.",I would test this first because the result is easy to see.
P020,review_pain_reply,en-ms,Someone said: 'forgot to turn off lamp or fan'. Let me show the fix.,"Use one buyer-pain comment style overlay, then demonstrate Mini Smart Plug WiFi Outlet 1-Pack in a realistic shot.",Show the exact pain disappearing on screen. Avoid exaggerated claims.,"Save this if you have the same problem, or check the cart for today's price."
